Filename,Description
pyats_testbed.yaml,Testbed file for pyATS (in YAML)
"task4step1.py ",pyATS job file to run tests from
task2step1.py,The task for collection of show commands
task2step2.py,The initial task for pyATS exploration
task3step1a.py,Test to verify log messages (asav-1 only)
task3step1b.py,Test to verify log messages (all devices)
task3step2.py,Test to verify service contracts coverage
task3step3.py,Test to verify routing information
task3step4.py,Test to verify reachability between devices (ping)
